Breed,Number of lactation,Green fodder (Kg),Dry fodder (Kg),Concentrate (kg),Azolla (kg),Milk yield (Liters),Milk Fat %,SNF %,Lactometer reading,Price (Rs/Liter),Vitamin liquid (ml/day),Mineral Mixture (gm/day),Calcium Supplement (Liquid) ml/day,Number of Calcium supplement Injections
Holstein Friesian Cross,2,42,14,13,1.33,16.89,3.43,8.42,36,38.57,4,43,52,2
Jersey cross,2,25,9,12,1.43,12.4,3.81,8.44,34,39.86,2,39,75,3
Jersey cross,8,41,5,13,0.4,17.58,3.67,8.5,33,41.73,4,60,70,0
Jersey cross,2,45,14,10,1.57,14.6,3.63,8.51,37,44.31,6,55,50,3
Jersey cross,1,25,8,14,1.45,13.01,3.86,8.39,31,37.95,6,41,64,2
Holstein Friesian Cross,3,26,5,6,1.98,14.67,3.45,8.57,38,41.39,6,60,73,1
Holstein Friesian Cross,7,25,8,6,0.44,16.12,3.34,8.45,35,40.64,3,63,65,2
Jersey cross,6,36,11,12,1.13,16.37,3.6,8.49,38,37.47,6,48,69,3
Holstein Friesian Cross,6,26,5,6,1.53,15.99,3.44,8.43,35,40.34,2,52,53,3
Jersey cross,7,32,7,8,1.56,14.72,3.58,8.47,30,35.28,5,34,60,2
Jersey cross,4,43,5,4,0.11,14.91,3.51,8.42,28,38.43,6,58,68,1
Jersey cross,2,32,7,7,1.97,12.98,3.69,8.42,38,40.83,4,33,64,2
Jersey cross,2,43,6,10,1.22,14.17,3.67,8.48,37,44.31,3,53,61,0
Holstein Friesian Cross,8,30,10,6,1.21,17.19,3.26,8.62,37,40.56,6,31,61,2
Holstein Friesian Cross,8,45,5,4,0.86,18.31,3.13,8.49,33,38.01,4,33,68,3
Jersey cross,6,40,6,7,1.84,16.01,3.54,8.46,32,40.96,4,49,65,0
Jersey cross,4,42,5,11,1.32,15.74,3.69,8.36,28,43.93,6,33,70,3
Jersey cross,5,39,6,10,0.68,15.55,3.7,8.43,35,39.49,5,65,65,0
Jersey cross,3,29,10,12,1.28,13.78,3.79,8.49,29,39.55,3,68,71,2
Jersey cross,6,37,11,14,1.12,17.23,3.63,8.57,31,39.05,6,43,57,0
Jersey cross,5,42,8,14,1.4,16.09,3.74,8.4,33,41.22,2,72,60,3
Holstein Friesian Cross,2,33,6,9,0.73,15.26,3.38,8.44,35,40.23,2,61,53,1
Jersey cross,2,43,13,6,0.82,15.01,3.52,8.57,32,44.51,3,63,65,3
Holstein Friesian Cross,8,33,10,8,1.32,18.08,3.37,8.58,33,36.39,6,53,50,0
Holstein Friesian Cross,1,35,13,9,0.21,15.45,3.28,8.64,35,38.88,5,41,52,3
Holstein Friesian Cross,7,42,10,8,0.02,18.72,3.33,8.43,36,35.63,5,52,71,1
Holstein Friesian Cross,9,28,6,5,1.25,17.73,3.38,8.45,35,40.91,5,55,54,0
Jersey cross,7,27,12,14,1.42,16.76,3.9,8.48,34,37.56,3,56,53,0
Holstein Friesian Cross,3,30,8,14,1.69,16.72,3.46,8.37,37,43.04,4,25,59,2
Holstein Friesian Cross,8,45,12,7,0.11,20.46,3.25,8.6,30,43.42,5,59,61,0
Jersey cross,2,28,9,12,0.94,13.79,3.84,8.53,37,39.0,2,55,72,0
Holstein Friesian Cross,9,33,13,8,0.29,18.24,3.32,8.6,36,41.53,2,59,66,1
Holstein Friesian Cross,8,38,14,9,0.7,20.07,3.38,8.53,34,43.99,6,45,60,0
Holstein Friesian Cross,6,35,13,9,0.1,17.48,3.25,8.6,34,35.76,4,72,75,2
Holstein Friesian Cross,8,27,6,11,0.2,17.86,3.53,8.49,32,36.42,6,66,64,2
Jersey cross,9,26,7,11,1.46,17.19,3.68,8.4,28,44.21,4,53,65,2
Jersey cross,9,39,5,11,1.63,18.69,3.69,8.52,34,36.06,5,70,61,2
Jersey cross,3,26,8,14,1.82,14.0,3.8,8.45,36,43.72,4,61,75,0
Jersey cross,5,27,11,10,0.0,14.56,3.66,8.51,35,44.34,3,71,69,0
Holstein Friesian Cross,9,28,9,11,0.78,19.05,3.47,8.49,29,36.83,4,45,51,1
Holstein Friesian Cross,8,33,13,10,0.28,19.58,3.42,8.62,38,38.71,6,25,58,3
Holstein Friesian Cross,5,37,5,6,0.39,15.66,3.33,8.47,30,38.21,4,52,74,2
Holstein Friesian Cross,2,34,12,5,1.19,15.07,3.35,8.56,38,40.47,2,49,50,3
Holstein Friesian Cross,6,32,11,10,1.79,18.24,3.38,8.48,28,43.49,5,53,58,1
Jersey cross,5,39,13,14,1.59,16.62,3.76,8.57,32,43.24,6,60,51,2
Holstein Friesian Cross,3,35,5,11,1.83,15.97,3.43,8.49,30,36.29,3,54,75,0
Holstein Friesian Cross,5,29,11,14,1.28,17.84,3.5,8.49,36,41.84,4,71,63,2
Jersey cross,9,29,11,14,1.98,17.32,3.8,8.56,37,37.59,6,73,55,0
Jersey cross,4,27,6,12,0.65,13.52,3.87,8.42,32,35.33,4,29,61,2
Holstein Friesian Cross,8,39,5,11,0.91,20.35,3.34,8.35,33,38.69,2,74,59,0
Holstein Friesian Cross,9,34,12,6,1.57,18.57,3.29,8.6,31,44.74,3,54,72,2
Holstein Friesian Cross,9,37,7,11,1.7,19.01,3.32,8.53,28,39.52,3,30,52,0
Jersey cross,8,30,11,7,1.99,15.86,3.72,8.55,37,39.53,2,50,70,2
Jersey cross,7,36,12,14,1.51,17.48,3.73,8.47,38,41.89,2,41,71,0
Jersey cross,4,28,6,8,1.31,13.56,3.58,8.57,38,35.87,4,68,55,0
Holstein Friesian Cross,5,32,10,8,0.96,16.38,3.42,8.54,37,35.49,6,55,65,1
Holstein Friesian Cross,4,35,5,5,1.2,15.07,3.27,8.47,28,44.6,4,74,53,1
Jersey cross,7,31,8,10,1.93,15.73,3.73,8.43,29,42.66,4,35,62,3
Holstein Friesian Cross,2,36,13,4,0.09,14.7,3.16,8.62,29,36.94,3,68,70,0
Jersey cross,8,36,12,4,1.27,16.92,3.44,8.66,35,41.61,6,41,68,3
Jersey cross,6,40,5,4,0.7,14.98,3.44,8.45,35,41.62,6,59,64,2
Holstein Friesian Cross,3,35,6,12,1.08,17.42,3.37,8.41,30,39.77,3,74,53,0
Jersey cross,8,36,13,5,0.54,15.57,3.54,8.55,30,36.0,5,30,52,0
Jersey cross,6,26,11,6,0.91,14.04,3.65,8.51,30,41.39,4,67,65,1
Jersey cross,2,33,10,14,0.58,15.34,3.77,8.45,36,43.39,3,67,50,3
Jersey cross,7,44,7,12,0.57,17.08,3.64,8.55,34,36.24,4,37,66,1
Jersey cross,1,40,5,6,0.0,13.18,3.42,8.56,31,43.35,6,42,69,2
Jersey cross,7,42,11,9,1.53,17.63,3.55,8.56,36,36.2,3,40,71,1
Holstein Friesian Cross,4,25,11,11,1.84,15.34,3.37,8.43,38,35.37,3,68,61,1
Jersey cross,7,43,11,13,1.4,17.21,3.72,8.53,29,43.48,3,67,52,0
Holstein Friesian Cross,1,39,10,7,0.5,14.41,3.26,8.58,32,40.24,4,45,68,1
Jersey cross,3,32,6,6,0.98,12.65,3.6,8.46,28,38.55,3,51,52,0
Holstein Friesian Cross,2,25,7,5,1.01,14.71,3.42,8.51,29,36.14,2,57,69,1
Holstein Friesian Cross,5,31,12,14,0.01,18.05,3.57,8.45,31,41.5,6,64,66,2
Jersey cross,9,38,8,14,1.99,19.23,3.73,8.53,29,42.36,4,36,68,3
Jersey cross,7,44,14,8,0.8,17.59,3.45,8.64,29,44.71,6,61,52,3
Holstein Friesian Cross,8,42,8,8,1.27,19.29,3.24,8.51,38,40.95,5,50,51,0
Jersey cross,8,28,9,8,0.6,16.75,3.71,8.47,36,43.01,4,70,60,2
Holstein Friesian Cross,7,40,8,9,1.27,19.02,3.28,8.5,34,39.51,3,60,64,1
Jersey cross,3,30,11,8,0.92,12.67,3.67,8.5,29,41.45,6,55,56,1
Holstein Friesian Cross,6,27,8,9,0.07,17.86,3.46,8.52,31,36.2,5,37,69,2
Holstein Friesian Cross,5,26,9,7,1.6,15.98,3.44,8.5,34,40.93,6,63,72,3
Holstein Friesian Cross,8,42,11,13,1.83,20.08,3.44,8.58,34,41.55,5,30,67,1
Jersey cross,9,32,5,14,0.84,18.01,3.66,8.48,36,39.09,3,34,67,2
Holstein Friesian Cross,5,31,11,6,1.71,15.38,3.27,8.61,37,41.39,4,47,75,0
Jersey cross,8,36,5,13,1.45,17.58,3.75,8.39,36,37.53,3,37,56,0
Holstein Friesian Cross,6,27,10,4,1.36,16.21,3.37,8.56,31,41.9,4,46,64,0
Jersey cross,1,45,14,8,1.91,14.32,3.55,8.62,30,43.86,6,59,51,2
Holstein Friesian Cross,9,45,12,7,0.68,19.26,3.22,8.48,35,40.0,4,59,55,2
Holstein Friesian Cross,9,35,10,12,0.98,20.89,3.45,8.41,31,42.63,5,71,64,2
Jersey cross,8,43,10,10,0.48,17.91,3.65,8.57,33,38.39,2,33,52,3
Jersey cross,5,26,13,14,1.7,15.09,3.87,8.53,28,36.21,4,28,72,0
Jersey cross,7,41,12,7,0.9,17.09,3.52,8.64,30,36.93,4,40,72,3
Holstein Friesian Cross,1,43,8,9,0.22,15.95,3.23,8.55,36,41.76,3,28,53,3
Jersey cross,5,44,12,6,0.68,15.17,3.49,8.47,38,43.5,2,57,57,1
Jersey cross,2,43,6,7,1.58,14.54,3.43,8.53,29,44.95,2,36,62,2
Holstein Friesian Cross,3,35,8,9,1.41,17.06,3.35,8.43,35,37.05,2,55,51,0
Holstein Friesian Cross,6,27,10,13,2.0,18.34,3.5,8.42,33,35.19,2,46,69,0
Holstein Friesian Cross,4,25,11,4,1.81,15.34,3.38,8.56,35,41.76,5,73,66,2
Holstein Friesian Cross,8,29,9,11,0.84,18.26,3.33,8.5,32,44.57,2,44,75,3
Jersey cross,4,25,12,4,1.26,12.41,3.54,8.57,29,44.7,6,38,56,3
Holstein Friesian Cross,1,40,7,4,1.56,14.11,3.1,8.56,34,37.61,6,75,53,0
Holstein Friesian Cross,6,30,14,4,1.11,16.93,3.31,8.54,29,35.19,5,49,55,0
Jersey cross,6,31,8,12,1.49,15.79,3.69,8.5,35,39.63,4,58,62,3
Holstein Friesian Cross,5,29,6,14,0.51,18.39,3.47,8.36,38,39.5,2,29,60,2
Jersey cross,4,35,14,6,0.57,14.41,3.5,8.65,31,35.62,2,69,70,0
Holstein Friesian Cross,6,45,7,4,0.33,18.36,3.03,8.6,32,41.48,4,69,51,3
Holstein Friesian Cross,2,30,9,14,1.5,15.87,3.48,8.44,37,40.88,5,60,51,2
Holstein Friesian Cross,3,31,10,6,0.61,14.59,3.27,8.53,36,41.33,5,65,69,1
Holstein Friesian Cross,9,44,12,14,0.88,21.37,3.29,8.56,33,40.87,3,41,54,3
Jersey cross,3,33,11,7,1.09,12.86,3.67,8.59,28,43.39,3,49,53,2
Jersey cross,3,36,10,6,0.88,12.94,3.49,8.61,30,36.3,2,55,53,1
Jersey cross,4,32,5,6,1.65,12.77,3.69,8.55,31,43.59,4,43,74,2
Jersey cross,3,38,9,7,1.13,13.21,3.49,8.5,34,40.59,5,37,58,1
Holstein Friesian Cross,5,25,6,4,0.69,15.42,3.38,8.58,38,40.65,2,33,50,0
Holstein Friesian Cross,8,39,10,8,1.5,19.7,3.27,8.47,36,40.59,6,57,55,1
Jersey cross,4,25,12,6,1.84,14.05,3.74,8.65,28,44.23,3,56,51,0
Jersey cross,8,45,14,7,1.45,18.44,3.44,8.48,34,35.99,5,40,66,3
Holstein Friesian Cross,8,35,10,7,1.33,18.33,3.38,8.63,37,44.77,5,37,67,3
Holstein Friesian Cross,6,25,14,7,0.57,15.86,3.45,8.56,38,42.4,6,58,55,3
Jersey cross,8,34,14,8,0.61,17.53,3.68,8.54,38,36.37,2,46,55,0
Holstein Friesian Cross,4,39,12,7,0.13,17.39,3.33,8.5,36,44.58,5,68,70,2
Holstein Friesian Cross,7,39,9,10,1.43,18.65,3.25,8.58,37,37.76,2,27,69,2
Holstein Friesian Cross,1,33,9,12,0.38,16.56,3.38,8.4,29,44.59,3,41,57,2
Holstein Friesian Cross,8,33,6,8,1.39,18.69,3.34,8.52,29,39.61,3,55,69,3
Jersey cross,4,44,8,8,1.23,15.87,3.51,8.58,31,42.34,2,63,58,2
Holstein Friesian Cross,6,25,13,14,1.15,18.02,3.49,8.53,35,40.13,3,34,70,2
Holstein Friesian Cross,9,31,5,4,1.59,18.01,3.37,8.5,38,35.55,2,51,59,0
Jersey cross,7,27,6,7,1.45,14.67,3.7,8.52,30,42.5,2,61,74,3
Holstein Friesian Cross,3,39,10,5,1.32,16.04,3.18,8.59,38,44.86,6,62,63,3
Holstein Friesian Cross,9,30,10,11,1.77,19.71,3.4,8.5,31,38.06,2,46,71,3
Holstein Friesian Cross,8,44,9,10,0.03,20.02,3.26,8.39,34,39.32,4,27,65,2
Jersey cross,7,35,14,5,1.57,15.88,3.62,8.58,29,44.13,2,27,60,2
Holstein Friesian Cross,4,40,7,6,0.32,16.03,3.29,8.44,38,37.69,6,75,69,1
Jersey cross,8,32,14,5,0.02,15.34,3.64,8.5,37,44.04,4,71,75,0
Holstein Friesian Cross,1,35,7,12,0.31,15.11,3.37,8.43,37,36.6,5,68,52,0
Jersey cross,9,29,13,10,1.33,17.89,3.7,8.53,28,42.93,2,46,69,3
Jersey cross,1,40,5,4,0.0,11.94,3.51,8.45,31,35.2,5,46,65,2
Jersey cross,4,38,14,10,0.76,16.1,3.62,8.6,37,37.0,2,52,60,2
Holstein Friesian Cross,8,42,14,13,1.63,20.75,3.38,8.43,38,37.31,5,59,58,1
Jersey cross,6,40,7,4,0.84,15.19,3.53,8.48,33,37.87,4,73,53,2
Jersey cross,9,27,5,9,1.61,16.36,3.61,8.44,36,39.54,4,50,62,3
Jersey cross,1,43,12,14,0.11,14.49,3.63,8.47,36,37.74,6,72,71,3
Jersey cross,5,40,8,11,1.75,16.28,3.72,8.39,32,43.41,5,44,55,0
Jersey cross,2,30,13,12,1.49,14.37,3.66,8.44,37,44.73,4,30,52,0
Jersey cross,1,43,11,14,1.41,15.22,3.57,8.47,38,36.55,3,74,73,0
Jersey cross,1,27,11,7,1.18,11.37,3.61,8.51,38,38.42,3,58,53,0
Holstein Friesian Cross,6,34,6,12,0.46,17.27,3.4,8.48,29,35.97,5,67,52,3
Holstein Friesian Cross,4,36,5,14,0.98,17.06,3.34,8.38,31,37.7,6,37,72,3
Jersey cross,5,45,9,9,1.47,15.57,3.6,8.43,29,40.22,4,28,57,3
Jersey cross,7,41,8,7,0.52,17.12,3.59,8.5,30,36.51,2,73,57,1
Jersey cross,7,32,10,10,0.06,15.9,3.67,8.56,33,38.95,6,40,71,0
Holstein Friesian Cross,2,37,13,14,1.46,18.14,3.35,8.41,35,37.58,3,66,74,2
Holstein Friesian Cross,7,40,14,13,0.34,19.66,3.27,8.5,36,36.29,5,70,68,2
Holstein Friesian Cross,1,34,10,6,0.4,13.87,3.26,8.5,32,40.99,5,46,62,3
Jersey cross,9,36,6,10,0.75,18.04,3.69,8.36,33,44.69,5,42,58,1
Jersey cross,3,37,6,11,0.42,15.42,3.73,8.36,38,36.68,4,30,53,1
Holstein Friesian Cross,6,40,7,10,1.66,18.07,3.21,8.56,36,35.53,3,45,74,2
Jersey cross,8,34,11,6,1.72,16.52,3.62,8.46,30,35.19,3,28,57,3
Jersey cross,3,31,6,8,1.02,14.37,3.72,8.41,36,37.3,3,71,64,1
Jersey cross,7,37,10,12,1.19,16.43,3.74,8.46,30,38.36,4,72,67,1
Jersey cross,4,29,8,13,0.91,14.41,3.77,8.55,36,39.46,2,47,73,1
Holstein Friesian Cross,9,45,5,13,1.95,20.02,3.27,8.34,35,35.38,6,61,56,2
Jersey cross,9,43,9,7,1.84,18.44,3.52,8.51,36,35.87,3,57,51,0
Holstein Friesian Cross,2,34,13,6,1.91,15.61,3.36,8.51,36,39.64,3,61,70,3
Holstein Friesian Cross,3,30,11,8,0.61,16.11,3.34,8.49,31,40.86,5,32,69,0
Jersey cross,1,43,13,6,1.35,13.42,3.48,8.59,38,37.06,6,42,51,2
Jersey cross,5,34,7,13,0.38,16.85,3.81,8.37,28,44.16,3,60,59,0
Holstein Friesian Cross,3,44,12,10,0.03,17.74,3.19,8.47,34,44.34,3,40,57,2
Jersey cross,2,28,8,8,0.57,12.6,3.75,8.41,29,38.48,6,30,61,3
Holstein Friesian Cross,5,27,6,5,0.98,14.68,3.29,8.43,29,40.72,2,44,62,0
Holstein Friesian Cross,5,32,8,10,0.79,16.71,3.39,8.42,34,41.96,3,29,66,0
Jersey cross,6,35,6,8,0.14,16.18,3.59,8.53,33,39.25,6,73,69,3
Jersey cross,3,42,10,10,1.15,14.89,3.55,8.42,34,44.05,3,69,55,0
Jersey cross,6,32,14,11,1.27,15.94,3.8,8.63,33,43.6,6,67,50,3
Jersey cross,5,34,10,4,0.32,14.56,3.52,8.52,30,38.85,3,50,64,3
Jersey cross,7,25,13,14,1.18,17.44,3.84,8.51,35,43.59,4,41,75,3
Holstein Friesian Cross,5,31,5,9,1.15,16.07,3.41,8.51,31,42.67,3,75,67,2
Holstein Friesian Cross,6,27,13,8,1.7,16.25,3.42,8.54,33,38.92,5,66,65,0
Holstein Friesian Cross,5,27,5,12,1.85,17.15,3.48,8.36,37,38.4,2,69,73,1
Holstein Friesian Cross,4,42,12,4,0.94,15.79,3.08,8.49,35,38.77,4,41,50,0
Holstein Friesian Cross,9,33,12,6,1.45,18.82,3.24,8.63,33,44.32,4,41,75,1
Holstein Friesian Cross,1,33,6,14,0.37,16.02,3.45,8.48,32,41.11,4,29,56,1
Jersey cross,9,34,5,4,0.47,14.95,3.55,8.48,35,39.25,5,30,66,0
Holstein Friesian Cross,6,35,9,8,0.38,17.24,3.3,8.61,30,40.84,6,60,56,0
Jersey cross,9,45,5,9,1.92,17.47,3.43,8.36,28,43.03,5,48,67,2
Holstein Friesian Cross,8,36,11,5,0.1,19.07,3.14,8.57,36,39.97,5,42,71,2
Holstein Friesian Cross,5,40,11,14,0.04,18.92,3.44,8.48,36,36.21,6,33,68,1
Holstein Friesian Cross,7,29,7,5,1.76,15.86,3.24,8.56,28,43.98,2,75,55,3
Holstein Friesian Cross,7,35,6,9,1.26,18.7,3.36,8.45,33,42.61,5,54,52,1
Holstein Friesian Cross,4,39,10,7,1.92,16.63,3.29,8.51,35,43.72,5,43,69,3
Holstein Friesian Cross,3,34,7,7,1.9,15.14,3.24,8.58,37,38.38,2,72,60,3
Holstein Friesian Cross,1,36,6,12,0.13,15.96,3.35,8.37,34,37.31,5,38,75,2
Jersey cross,7,29,8,10,1.13,15.73,3.79,8.55,29,41.29,4,62,53,0
Holstein Friesian Cross,9,32,13,11,0.18,18.95,3.44,8.57,31,37.01,4,69,63,2
Jersey cross,5,43,6,7,0.17,16.4,3.45,8.43,28,39.42,4,31,69,3
Holstein Friesian Cross,5,25,9,11,1.25,16.32,3.38,8.54,29,42.49,4,42,71,0
Holstein Friesian Cross,3,45,13,7,0.55,16.59,3.21,8.46,36,39.0,3,26,71,1
Jersey cross,6,27,9,4,0.87,14.0,3.69,8.45,33,43.07,5,29,65,0
Jersey cross,1,31,10,11,0.85,13.86,3.78,8.53,38,41.73,2,31,67,2
Jersey cross,4,43,7,5,1.69,14.99,3.52,8.61,29,39.68,2,36,53,3
Jersey cross,8,25,11,11,1.54,16.55,3.75,8.53,31,44.53,5,33,67,2
Jersey cross,1,25,14,10,1.34,12.91,3.69,8.51,36,42.22,3,51,56,3
Jersey cross,2,31,7,9,0.58,13.16,3.62,8.44,38,43.94,4,34,54,0
Jersey cross,9,31,5,7,1.39,17.03,3.57,8.41,37,40.29,3,64,59,0
Jersey cross,5,35,5,9,0.13,15.46,3.63,8.43,30,37.98,5,49,65,0
Holstein Friesian Cross,6,34,6,12,1.17,18.22,3.48,8.35,35,38.94,4,58,64,0
Jersey cross,7,42,9,9,1.54,16.04,3.65,8.52,34,41.47,6,73,69,2
Holstein Friesian Cross,5,44,8,4,0.99,16.26,3.09,8.48,32,44.12,3,45,53,3
Jersey cross,5,29,8,4,0.98,14.17,3.57,8.5,30,42.01,4,74,57,2
Jersey cross,9,29,11,13,0.19,16.58,3.8,8.51,33,36.33,6,55,54,0
Jersey cross,2,41,10,9,0.88,14.34,3.66,8.48,34,39.34,6,69,65,3
Jersey cross,1,39,12,12,0.52,13.64,3.55,8.57,28,38.11,6,46,56,0
Holstein Friesian Cross,3,36,14,10,1.63,17.36,3.29,8.5,35,41.36,6,69,61,0
Holstein Friesian Cross,4,39,6,7,0.15,17.15,3.28,8.54,29,38.61,4,48,60,1
Jersey cross,7,39,5,4,0.64,14.7,3.41,8.54,36,37.43,6,27,72,3
Jersey cross,4,37,5,9,1.08,14.6,3.57,8.54,33,41.02,6,64,65,0
Holstein Friesian Cross,4,32,6,9,0.97,16.6,3.3,8.49,30,38.28,2,31,53,1
Jersey cross,9,35,13,11,0.29,17.6,3.61,8.55,37,37.66,3,67,56,1
Jersey cross,5,37,9,13,0.67,17.0,3.62,8.51,28,43.24,3,37,58,3
Jersey cross,2,40,9,5,0.47,12.86,3.47,8.55,36,43.18,6,54,63,2
Jersey cross,2,43,13,5,1.31,13.32,3.48,8.5,34,40.05,2,38,72,3
Holstein Friesian Cross,5,37,14,8,1.56,18.39,3.27,8.6,33,36.48,2,65,54,1
Holstein Friesian Cross,9,40,5,10,1.97,19.87,3.31,8.36,29,39.07,5,62,56,1
Holstein Friesian Cross,8,42,11,9,1.12,19.65,3.29,8.61,35,36.29,3,71,69,2
Holstein Friesian Cross,6,38,9,11,0.36,18.92,3.44,8.54,31,35.68,4,49,51,0
Jersey cross,7,33,9,8,0.39,16.0,3.7,8.47,28,35.4,6,47,52,0
Jersey cross,3,43,6,9,0.65,14.52,3.47,8.37,30,37.33,3,60,65,2
Holstein Friesian Cross,1,43,7,13,0.54,17.0,3.26,8.34,28,42.57,4,57,68,0
Jersey cross,5,40,5,5,0.72,15.56,3.43,8.46,28,36.47,2,66,74,2
Jersey cross,5,39,11,11,1.68,16.61,3.71,8.6,31,35.6,4,34,68,2
Jersey cross,5,35,9,9,0.66,16.25,3.58,8.55,32,41.56,5,46,66,2
Holstein Friesian Cross,3,35,11,6,0.4,16.35,3.17,8.6,32,44.37,3,48,74,1
Holstein Friesian Cross,3,35,13,13,0.64,16.69,3.5,8.45,33,43.58,4,69,63,0
Jersey cross,3,31,6,5,0.99,12.92,3.61,8.59,31,38.34,5,67,55,0
Jersey cross,1,36,7,10,0.71,13.76,3.57,8.39,31,41.39,3,64,56,0
Holstein Friesian Cross,3,27,7,7,1.32,15.47,3.36,8.55,33,35.21,6,74,56,1
Jersey cross,4,31,14,4,0.32,14.47,3.59,8.51,35,37.03,4,50,70,2
Jersey cross,3,28,7,14,1.02,14.63,3.77,8.44,31,42.34,2,48,55,0
Jersey cross,6,45,9,13,1.93,16.86,3.61,8.41,33,40.42,2,32,55,1
Jersey cross,2,42,5,9,0.0,13.92,3.65,8.45,34,40.33,6,75,71,1
Holstein Friesian Cross,3,28,7,11,1.15,15.43,3.38,8.47,36,43.54,3,39,71,3
Jersey cross,6,37,7,8,1.84,14.71,3.58,8.56,35,43.24,6,64,69,0
Holstein Friesian Cross,5,32,13,12,1.3,17.7,3.44,8.54,38,44.47,5,45,75,2
Jersey cross,7,39,10,5,1.33,15.58,3.51,8.63,32,36.18,4,69,75,0
Holstein Friesian Cross,8,38,9,8,1.4,18.22,3.22,8.56,36,44.54,3,36,63,1
Holstein Friesian Cross,8,31,5,8,1.35,17.39,3.44,8.49,34,36.49,3,58,66,2
Jersey cross,2,39,5,8,0.58,13.4,3.47,8.49,33,40.57,4,30,59,3
Jersey cross,2,41,12,10,1.38,14.83,3.67,8.6,32,44.62,5,63,66,2
Holstein Friesian Cross,7,40,9,10,0.26,19.61,3.32,8.56,34,38.43,3,71,72,1
Jersey cross,5,41,7,9,0.99,15.98,3.57,8.41,34,35.21,5,39,56,2
Jersey cross,8,41,12,6,0.16,17.42,3.59,8.64,30,40.14,6,65,71,0
Jersey cross,6,38,7,5,1.57,15.08,3.56,8.57,37,42.34,3,70,73,1
Jersey cross,2,39,10,11,1.14,15.35,3.69,8.39,38,41.58,4,60,52,1
Jersey cross,2,37,11,9,0.39,14.32,3.54,8.6,33,37.98,5,64,64,1
Holstein Friesian Cross,8,26,8,10,0.35,17.95,3.45,8.5,29,37.78,4,65,66,1
Jersey cross,6,43,11,13,0.11,16.9,3.55,8.39,36,37.8,5,43,68,2
Jersey cross,1,42,8,11,0.95,13.42,3.53,8.38,29,39.51,6,52,68,2
Holstein Friesian Cross,3,40,9,11,1.08,17.91,3.39,8.45,36,38.78,6,54,73,0
Holstein Friesian Cross,2,40,11,7,1.75,15.15,3.25,8.46,34,36.83,4,52,58,1
Jersey cross,5,35,6,7,0.52,13.81,3.58,8.42,32,37.07,3,43,55,1
Jersey cross,1,27,13,10,0.84,12.27,3.8,8.49,32,42.65,5,63,69,1
Jersey cross,7,30,10,7,1.21,14.95,3.67,8.44,38,43.3,5,65,70,0
Holstein Friesian Cross,8,39,8,5,0.37,18.64,3.26,8.62,31,43.65,6,53,59,2
Holstein Friesian Cross,9,39,7,6,0.04,19.84,3.13,8.43,34,44.0,3,49,60,2
Holstein Friesian Cross,6,31,5,14,0.26,17.28,3.41,8.42,30,44.03,2,27,62,2
Jersey cross,5,39,9,4,0.83,13.83,3.48,8.5,34,43.98,6,48,70,2
Jersey cross,9,37,14,7,1.4,16.59,3.59,8.56,32,42.84,6,50,53,3
Jersey cross,2,40,12,9,1.74,13.58,3.56,8.51,30,39.49,6,29,66,0
Holstein Friesian Cross,1,32,11,12,1.57,15.58,3.47,8.54,30,44.94,3,65,61,2
Jersey cross,7,37,9,12,1.61,16.15,3.67,8.47,29,42.13,3,64,67,0
Jersey cross,9,32,8,12,1.11,17.42,3.67,8.43,37,42.11,3,29,58,0
Jersey cross,1,28,10,6,0.06,11.83,3.69,8.5,32,39.84,4,74,53,1
Holstein Friesian Cross,6,35,11,11,0.51,18.4,3.32,8.51,29,40.07,5,34,75,3
Holstein Friesian Cross,4,33,11,13,0.69,18.42,3.51,8.5,31,36.32,5,50,71,1
Holstein Friesian Cross,4,28,6,14,1.09,15.98,3.48,8.4,33,39.92,3,46,75,2
Jersey cross,9,29,10,9,1.58,17.67,3.64,8.45,36,38.05,4,66,70,0
Holstein Friesian Cross,3,37,6,4,0.11,15.96,3.28,8.46,36,40.93,2,37,61,1
Holstein Friesian Cross,5,30,9,8,0.66,17.1,3.33,8.49,30,44.15,6,62,54,0
Jersey cross,6,45,6,13,0.63,18.0,3.52,8.46,30,44.19,6,44,68,1
Jersey cross,6,42,8,12,0.86,16.65,3.68,8.5,37,41.3,6,31,50,0
Holstein Friesian Cross,6,25,9,4,0.67,15.48,3.24,8.61,31,44.01,5,57,74,1
Holstein Friesian Cross,4,33,10,14,1.83,18.11,3.5,8.41,36,38.43,2,40,63,3
Holstein Friesian Cross,6,33,14,14,0.39,19.59,3.43,8.54,31,42.59,6,71,56,2
Holstein Friesian Cross,5,29,7,12,0.58,16.4,3.44,8.42,32,44.02,4,40,57,3
Holstein Friesian Cross,5,44,13,13,0.92,19.34,3.38,8.47,33,41.1,6,59,61,3
Holstein Friesian Cross,6,35,6,8,0.61,16.45,3.4,8.45,36,43.31,5,33,50,2
Holstein Friesian Cross,7,34,7,5,1.6,17.41,3.19,8.44,33,38.98,5,59,60,0
Holstein Friesian Cross,7,40,13,11,0.56,18.92,3.35,8.47,38,42.7,6,52,69,3
Jersey cross,4,45,14,10,0.79,16.6,3.59,8.5,35,42.71,2,67,50,2
Holstein Friesian Cross,1,36,7,7,0.91,13.86,3.23,8.49,38,42.93,4,68,67,3
Holstein Friesian Cross,5,35,14,9,0.46,17.65,3.25,8.6,36,36.92,6,33,67,0
